NETFLOW_DATETIME,SOURCE_ADDRESS,SOURCE_PORT,IN_BYTES
1694086980,220.16.226.27,44088,348
1694086980,220.16.226.27,44578,211
1694086980,220.16.226.27,44605,182
1694086980,220.16.226.27,43971,19472
1694086980,220.16.226.27,44732,6833
1694086980,220.16.226.27,44733,5698
1694086980,220.16.226.27,44068,10556
1694086980,220.16.226.27,44132,240
1694086980,220.16.226.27,44805,550169
1694086980,220.16.226.27,44324,1679
1694086980,220.16.226.27,44188,28209
1694086980,220.16.226.27,44508,136
1694086980,220.16.226.27,44074,9931
1694086980,220.16.226.27,43925,164
1694086980,220.16.226.27,44351,7464
1694086980,220.16.226.27,44143,183
1694086980,220.16.226.27,44376,989
1694086980,220.16.226.27,44423,8482
1694086980,220.16.226.27,44263,1656
1694086981,220.16.226.27,44243,6400
1694086981,220.16.226.27,43662,138
1694086981,220.16.226.27,44636,3479
1694086981,220.16.226.27,43646,5317
1694086981,220.16.226.27,44038,154
1694086981,220.16.226.27,44069,115
1694086981,220.16.226.27,44034,92
1694086981,220.16.226.27,43997,152
1694086981,220.16.226.27,43731,152
1694086981,220.16.226.27,44524,7819
1694086981,220.16.226.27,43720,6538
1694086981,220.16.226.27,44549,1649
1694086981,220.16.226.27,43805,142
1694086981,220.16.226.27,43726,93
1694086981,220.16.226.27,44266,139
1694086981,220.16.226.27,44580,153
1694086981,220.16.226.27,44672,160
1694086981,220.16.226.27,43608,5896
1694086981,220.16.226.27,44463,7938
1694086981,220.16.226.27,44062,119
1694086981,220.16.226.27,43855,155
1694086981,220.16.226.27,43907,105
1694086981,220.16.226.27,44145,1515
1694086981,220.16.226.27,44219,160
1694086981,220.16.226.27,43732,524
1694086981,220.16.226.27,43917,4814
1694086981,220.16.226.27,44631,481
1694086981,220.16.226.27,43850,1028
1694086981,220.16.226.27,44081,6170
1694086981,220.16.226.27,43897,175
1694086981,220.16.226.27,43946,107
1694086981,220.16.226.27,44382,6561
1694086981,220.16.226.27,44446,112
1694086981,220.16.226.27,44325,117
1694086981,220.16.226.27,44661,0
1694086981,220.16.226.27,44550,1847
1694086981,220.16.226.27,43631,4326
1694086981,220.16.226.27,44695,168
1694086981,220.16.226.27,44199,210
1694086981,220.16.226.27,44116,6910
1694086982,220.16.226.27,44210,6809
1694086982,220.16.226.27,44050,4355
1694086982,220.16.226.27,44097,14142
1694086982,220.16.226.27,44458,194
1694086982,220.16.226.27,44451,180
1694086982,220.16.226.27,44745,1318
1694086982,220.16.226.27,44288,175
1694086982,220.16.226.27,44678,7852
1694086982,220.16.226.27,44863,1609
1694086983,220.16.226.27,44335,1663
1694086983,220.16.226.27,44573,138
1694086983,220.16.226.27,44155,206
1694086983,220.16.226.27,44412,138
1694086983,220.16.226.27,43881,252
1694086983,220.16.226.27,44660,1848
1694086983,220.16.226.27,44410,6929
1694086983,220.16.226.27,43620,118
1694086983,220.16.226.27,44378,199
1694086983,220.16.226.27,44613,241
1694086983,220.16.226.27,44766,106
1694086983,220.16.226.27,44668,121
1694086983,220.16.226.27,43995,167
1694086983,220.16.226.27,44169,181
1694086983,220.16.226.27,43699,6961
1694086983,220.16.226.27,44505,10275
1694086983,220.16.226.27,44365,8557
1694086983,220.16.226.27,44415,5828
1694086983,220.16.226.27,44756,119
1694086983,220.16.226.27,44617,155
1694086983,220.16.226.27,44416,5382
1694086983,220.16.226.27,43651,200
1694086983,220.16.226.27,43990,153
1694086983,220.16.226.27,44809,7026
1694086983,220.16.226.27,43996,157
1694086983,220.16.226.27,44594,197
1694086983,220.16.226.27,44626,198
1694086983,220.16.226.27,44581,163
1694086983,220.16.226.27,44168,8453
1694086983,220.16.226.27,44561,1032
1694086983,220.16.226.27,44593,196
1694086983,220.16.226.27,43918,182
1694086983,220.16.226.27,44172,1492
1694086983,220.16.226.27,44355,1023
1694086983,220.16.226.27,44370,137
1694086983,220.16.226.27,44339,137
1694086983,220.16.226.27,44128,6608
1694086983,220.16.226.27,44223,136
1694086983,220.16.226.27,43876,8653
1694086983,220.16.226.27,43693,11679
1694086983,220.16.226.27,44365,189
1694086983,220.16.226.27,44548,152
1694086983,220.16.226.27,44460,152
1694086984,220.16.226.27,43743,530
1694086984,220.16.226.27,44206,249
1694086984,220.16.226.27,43679,199
1694086984,220.16.226.27,44641,4861
1694086984,220.16.226.27,44474,89
1694086984,220.16.226.27,44672,133
1694086984,220.16.226.27,43952,6855
1694086984,220.16.226.27,43955,132
1694086984,220.16.226.27,44673,176
1694086985,220.16.226.27,44070,112
1694086985,220.16.226.27,44820,159
1694086985,220.16.226.27,44048,143
1694086985,220.16.226.27,44559,160
1694086985,220.16.226.27,44086,148
1694086985,220.16.226.27,44862,104
1694086985,220.16.226.27,44107,142
1694086986,220.16.226.27,44372,7678
1694086986,220.16.226.27,44511,7763
1694086986,220.16.226.27,43960,7134
1694086986,220.16.226.27,44296,88
1694086986,220.16.226.27,43821,149
1694086986,220.16.226.27,43616,4685
1694086986,220.16.226.27,44445,3890
1694086986,220.16.226.27,44469,4677
1694086986,220.16.226.27,44148,4296
1694086986,220.16.226.27,44817,563
1694086986,220.16.226.27,44680,1480
1694086987,220.16.226.27,44083,1710
1694086987,220.16.226.27,44015,1147
1694086988,220.16.226.27,43797,0
1694086988,220.16.226.27,44869,0
1694086988,220.16.226.27,44155,0
1694086988,220.16.226.27,44824,1192
1694086988,220.16.226.27,44135,496
1694086988,220.16.226.27,44766,132
1694086988,220.16.226.27,43724,176
1694086988,220.16.226.27,44453,132
1694086988,220.16.226.27,44422,176
1694086988,220.16.226.27,43654,6655
1694086988,220.16.226.27,44667,57937
1694086990,220.16.226.27,43955,2901
1694086993,220.16.226.27,44393,2552
1694086994,220.16.226.27,44396,0
1694086994,220.16.226.27,44487,2552
1694086994,220.16.226.27,43615,7666
1694086994,220.16.226.27,44356,176
1694086994,220.16.226.27,44825,132
1694086994,220.16.226.27,44778,176
1694086994,220.16.226.27,44288,132
1694086994,220.16.226.27,44565,0
1694086995,220.16.226.27,44455,0
1694086996,220.16.226.27,44057,6463
1694086996,220.16.226.27,44310,94
1694086996,220.16.226.27,43610,143
1694086996,220.16.226.27,44772,3518
1694086996,220.16.226.27,44587,5245
1694086996,220.16.226.27,44096,0
1694086996,220.16.226.27,43855,1603
1694086996,220.16.226.27,43718,4560
1694086996,220.16.226.27,44524,205
1694086996,220.16.226.27,43741,0
1694086996,220.16.226.27,43950,1555
1694086996,220.16.226.27,44158,1549
1694086996,220.16.226.27,43998,525
1694086998,220.16.226.27,44645,2577
1694086998,220.16.226.27,44255,94
1694086998,220.16.226.27,44145,143
1694086998,220.16.226.27,44255,7348
1694086998,220.16.226.27,44556,497
1694087000,220.16.226.27,44397,2214
1694087000,220.16.226.27,44398,2689
1694087000,220.16.226.27,43732,2701
1694087000,220.16.226.27,44032,2286
1694087000,220.16.226.27,43734,1421
1694087000,220.16.226.27,44494,0
1694087000,220.16.226.27,44357,2455
1694087000,220.16.226.27,44151,6256
1694087000,220.16.226.27,44405,8431
1694087000,220.16.226.27,43749,183
1694087000,220.16.226.27,43844,217
1694087000,220.16.226.27,44477,152
1694087000,220.16.226.27,44061,152
1694087000,220.16.226.27,43809,1958
1694087001,220.16.226.27,44544,198
1694087001,220.16.226.27,44157,148
1694087001,220.16.226.27,44154,152
1694087001,220.16.226.27,43637,183
1694087001,220.16.226.27,44354,152
1694087001,220.16.226.27,44155,217
1694087001,220.16.226.27,44020,152
1694087001,220.16.226.27,44279,115
1694087001,220.16.226.27,44087,171
1694087001,220.16.226.27,44200,221
1694087001,220.16.226.27,44140,6745
1694087001,220.16.226.27,43773,2094
1694087001,220.16.226.27,43636,1362
1694087001,220.16.226.27,44603,1522
1694087001,220.16.226.27,43644,172
1694087001,220.16.226.27,44673,6037
1694087001,220.16.226.27,44065,160
1694087001,220.16.226.27,43616,6751
1694087001,220.16.226.27,44585,6046
1694087001,220.16.226.27,43802,1772
1694087001,220.16.226.27,44679,5855
1694087001,220.16.226.27,44016,0
1694087001,220.16.226.27,44816,200
1694087001,220.16.226.27,43643,159
1694087001,220.16.226.27,44730,7977
1694087001,220.16.226.27,43791,6211
1694087001,220.16.226.27,43884,1472
1694087001,220.16.226.27,44299,26434
1694087001,220.16.226.27,44421,128
1694087001,220.16.226.27,43852,156
1694087002,220.16.226.27,44626,1111
1694087002,220.16.226.27,44301,4824
1694087002,220.16.226.27,43819,6518
1694087002,220.16.226.27,44523,155
1694087003,220.16.226.27,44064,0
1694087003,220.16.226.27,44288,5141
1694087004,220.16.226.27,44212,209
1694087004,220.16.226.27,43843,167
1694087004,220.16.226.27,44350,136
1694087004,220.16.226.27,44600,178
1694087008,220.16.226.27,43678,0
1694087008,220.16.226.27,44614,0
1694087009,220.16.226.27,44718,0
1694087009,220.16.226.27,44854,0
1694087009,220.16.226.27,43950,3514
1694087009,220.16.226.27,44390,3514
1694087009,220.16.226.27,44485,1720
1694087010,220.16.226.27,44688,179
1694087010,220.16.226.27,43754,135
1694087010,220.16.226.27,44855,1522
1694087010,220.16.226.27,44413,161
1694087010,220.16.226.27,43891,127
1694087010,220.16.226.27,43892,0
1694087010,220.16.226.27,44848,100
1694087010,220.16.226.27,44472,109
1694087011,220.16.226.27,43659,267
1694087011,220.16.226.27,44718,221
1694087011,220.16.226.27,44707,221
1694087011,220.16.226.27,44577,172
1694087011,220.16.226.27,43851,4657
1694087011,220.16.226.27,44634,0
1694087011,220.16.226.27,43968,4131
1694087014,220.16.226.27,44843,95
1694087015,220.16.226.27,44701,5580
1694087016,220.16.226.27,44322,0
1694087016,220.16.226.27,44844,0
1694087016,220.16.226.27,43987,96
1694087016,220.16.226.27,44575,131
1694087016,220.16.226.27,44382,96
1694087016,220.16.226.27,43645,131
1694087016,220.16.226.27,43858,5542
1694087017,220.16.226.27,44722,126
1694087017,220.16.226.27,43955,167
1694087017,220.16.226.27,44826,4895
1694087017,220.16.226.27,43770,4887
1694087017,220.16.226.27,44380,135
1694087017,220.16.226.27,43732,94
1694087017,220.16.226.27,44070,6177
1694087017,220.16.226.27,44766,0
1694087018,220.16.226.27,43860,92
1694087018,220.16.226.27,44316,133
1694087018,220.16.226.27,43990,0
1694087019,220.16.226.27,44101,150
1694087019,220.16.226.27,43845,188
1694087022,220.16.226.27,44348,0
1694087025,220.16.226.27,44559,0
1694087026,220.16.226.27,44693,0
1694087026,220.16.226.27,44787,7653
1694087026,220.16.226.27,44144,6237
1694087026,220.16.226.27,43645,0
1694087026,220.16.226.27,43870,5039
1694087027,220.16.226.27,44026,126
1694087027,220.16.226.27,44185,142
1694087027,220.16.226.27,44202,124
1694087027,220.16.226.27,44325,133
1694087030,220.16.226.27,43911,0
1694087034,220.16.226.27,44386,106
1694087041,220.16.226.27,44048,135
1694087041,220.16.226.27,44597,179
1694087041,220.16.226.27,44689,181
1694087041,220.16.226.27,44153,196
1694087041,220.16.226.27,43782,1545
1694087041,220.16.226.27,43763,96
1694087041,220.16.226.27,43691,140
1694087041,220.16.226.27,44342,155
1694087041,220.16.226.27,44729,121
1694087041,220.16.226.27,43743,131
1694087041,220.16.226.27,44332,87
1694087041,220.16.226.27,44290,5889
1694087041,220.16.226.27,44368,130
1694087041,220.16.226.27,44292,170
1694087042,220.16.226.27,43654,6606
1694087042,220.16.226.27,44553,1700
1694087043,220.16.226.27,44350,294
1694087043,220.16.226.27,44448,198
1694087043,220.16.226.27,43889,143
1694087043,220.16.226.27,44746,149
1694087043,220.16.226.27,43983,97
1694087043,220.16.226.27,43775,0
1694087043,220.16.226.27,43938,8312
1694087043,220.16.226.27,44161,178
1694087043,220.16.226.27,43959,116
1694087043,220.16.226.27,43979,136
1694087043,220.16.226.27,43624,185
1694087043,220.16.226.27,44860,6423
1694087043,220.16.226.27,44194,0
1694087043,220.16.226.27,43609,180
1694087043,220.16.226.27,44115,131
1694087043,220.16.226.27,44471,7325
1694087043,220.16.226.27,44821,218
1694087043,220.16.226.27,43814,119
1694087043,220.16.226.27,44772,196
1694087043,220.16.226.27,44495,4616
1694087043,220.16.226.27,44521,5857
1694087044,220.16.226.27,44146,554
1694087044,220.16.226.27,43974,1729
1694087044,220.16.226.27,43707,164
1694087044,220.16.226.27,43682,372
1694087044,220.16.226.27,44201,150
1694087044,220.16.226.27,44014,134
1694087044,220.16.226.27,44522,292
1694087044,220.16.226.27,43851,162
1694087044,220.16.226.27,44468,209
1694087044,220.16.226.27,43789,90
1694087044,220.16.226.27,44293,203
1694087044,220.16.226.27,44526,139
1694087044,220.16.226.27,43930,7677
1694087044,220.16.226.27,44483,6484
1694087044,220.16.226.27,44566,850
1694087044,220.16.226.27,43768,109
1694087044,220.16.226.27,44297,124
1694087044,220.16.226.27,43936,6075
1694087044,220.16.226.27,44314,265
1694087044,220.16.226.27,43736,295
1694087050,220.16.226.27,43868,0
1694087050,220.16.226.27,44562,0
1694087058,220.16.226.27,43890,0
1694087058,220.16.226.27,44742,0
1694087058,220.16.226.27,44125,0
1694087063,220.16.226.27,43687,6719
1694087063,220.16.226.27,44169,13195
1694087065,220.16.226.27,44428,0
1694087065,220.16.226.27,44828,160
1694087065,220.16.226.27,44560,146
1694087065,220.16.226.27,44099,380
1694087065,220.16.226.27,44255,164
1694087065,220.16.226.27,44409,0
1694087066,220.16.226.27,44571,168
1694087066,220.16.226.27,43985,102
1694087066,220.16.226.27,44176,159
1694087066,220.16.226.27,43694,160
1694087072,220.16.226.27,43761,0
1694087072,220.16.226.27,43903,0
1694087072,220.16.226.27,43674,0
1694087073,220.16.226.27,43904,286
1694087073,220.16.226.27,44852,224
1694087073,220.16.226.27,43846,185
1694087073,220.16.226.27,44051,229
1694087073,220.16.226.27,44335,143
1694087073,220.16.226.27,44591,224
1694087073,220.16.226.27,44682,224
1694087073,220.16.226.27,43732,286
1694087073,220.16.226.27,43640,287
1694087073,220.16.226.27,43598,200
1694087073,220.16.226.27,44820,143
1694087073,220.16.226.27,44199,228
1694087073,220.16.226.27,44138,286
1694087073,220.16.226.27,44027,137
1694087073,220.16.226.27,43892,113
1694087073,220.16.226.27,44722,202
1694087073,220.16.226.27,44617,140
1694087073,220.16.226.27,44448,255
1694087073,220.16.226.27,44577,202
1694087073,220.16.226.27,44209,137
1694087073,220.16.226.27,44564,93
1694087073,220.16.226.27,44827,189
1694087073,220.16.226.27,44285,143
1694087073,220.16.226.27,43641,179
1694087073,220.16.226.27,43974,135
1694087073,220.16.226.27,44358,143
1694087073,220.16.226.27,43603,189
1694087073,220.16.226.27,44644,143
1694087073,220.16.226.27,44287,189
1694087073,220.16.226.27,43728,144
1694087073,220.16.226.27,44134,190
1694087073,220.16.226.27,44764,190
1694087073,220.16.226.27,43818,144
1694087073,220.16.226.27,43813,186
1694087074,220.16.226.27,44430,209
1694087074,220.16.226.27,44072,183
1694087074,220.16.226.27,44833,139
1694087074,220.16.226.27,44409,202
1694087074,220.16.226.27,44219,150
1694087074,220.16.226.27,44554,175
1694087074,220.16.226.27,43637,100
1694087074,220.16.226.27,44529,141
1694087074,220.16.226.27,43712,19320
1694087074,220.16.226.27,44410,143
1694087074,220.16.226.27,44299,147
1694087074,220.16.226.27,44819,5027
1694087074,220.16.226.27,44413,198
1694087074,220.16.226.27,43912,148
1694087075,220.16.226.27,44468,101
1694087075,220.16.226.27,43926,142
1694087076,220.16.226.27,44350,104
1694087076,220.16.226.27,43662,153
1694087076,220.16.226.27,44735,169
1694087076,220.16.226.27,44683,92
1694087076,220.16.226.27,43649,5445
1694087076,220.16.226.27,44065,249
1694087076,220.16.226.27,44061,199
1694087076,220.16.226.27,44562,134
1694087076,220.16.226.27,44543,191
1694087076,220.16.226.27,44294,215
1694087076,220.16.226.27,43987,208
1694087076,220.16.226.27,43868,190
1694087076,220.16.226.27,44700,133
1694087076,220.16.226.27,44803,144
1694087076,220.16.226.27,44022,186
1694087076,220.16.226.27,43609,176
1694087076,220.16.226.27,44071,112
1694087076,220.16.226.27,43770,1172
1694087076,220.16.226.27,44783,0
1694087076,220.16.226.27,43994,244
1694087076,220.16.226.27,43633,131
1694087076,220.16.226.27,44213,132
1694087076,220.16.226.27,44530,107
1694087076,220.16.226.27,43706,0
1694087076,220.16.226.27,44604,0
1694087077,220.16.226.27,44126,176
1694087077,220.16.226.27,44450,193
1694087077,220.16.226.27,44172,232
1694087077,220.16.226.27,43843,276
1694087077,220.16.226.27,43611,132
1694087077,220.16.226.27,44360,206
1694087077,220.16.226.27,44309,221
1694087077,220.16.226.27,44836,325
1694087077,220.16.226.27,44811,195
1694087077,220.16.226.27,44097,170
1694087077,220.16.226.27,44638,102
1694087077,220.16.226.27,44726,351
1694087077,220.16.226.27,43656,306
1694087077,220.16.226.27,43863,239
1694087077,220.16.226.27,44514,6525
1694087077,220.16.226.27,44860,4853
1694087077,220.16.226.27,44035,5938
1694087077,220.16.226.27,44077,205
1694087077,220.16.226.27,44695,158
1694087077,220.16.226.27,44064,204
1694087077,220.16.226.27,43635,183
1694087077,220.16.226.27,44229,224
1694087077,220.16.226.27,44257,209
1694087077,220.16.226.27,44248,5066
1694087078,220.16.226.27,44755,1710
1694087080,220.16.226.27,44282,150
1694087080,220.16.226.27,43760,213
1694087080,220.16.226.27,44179,0
1694087080,220.16.226.27,43766,0
1694087083,220.16.226.27,44116,0
1694087084,220.16.226.27,44051,0
1694087084,220.16.226.27,44604,0
1694087087,220.16.226.27,43973,101
1694087091,220.16.226.27,43725,0
1694087092,220.16.226.27,44626,0
1694087092,220.16.226.27,43753,0
1694087093,220.16.226.27,44711,0
1694085393,220.16.226.27,44374,7862
1694085942,220.16.226.27,44175,630468
1694086551,220.16.226.27,43713,6908
1694086763,220.16.226.27,44541,1093172
1694086763,220.16.226.27,44699,5833243
1694086765,220.16.226.27,44574,7388
1694086775,220.16.226.27,44786,8921
1694086776,220.16.226.27,43709,6888
1694086780,220.16.226.27,44732,3860
1694086806,220.16.226.27,44175,170661010
1694086823,220.16.226.27,43884,3906851
1694086837,220.16.226.27,44628,8438
1694086838,220.16.226.27,44165,8320
1694086840,220.16.226.27,43723,3860
1694086910,220.16.226.27,44434,180
1694086911,220.16.226.27,44010,90
1694086916,220.16.226.27,44837,10103
1694086953,220.16.226.27,44667,9048
1694086953,220.16.226.27,43895,25960
1694086953,220.16.226.27,44724,141694
1694086954,220.16.226.27,44321,8660
1694086954,220.16.226.27,44500,6619
1694086954,220.16.226.27,43746,3872
1694086954,220.16.226.27,44120,6554
1694086955,220.16.226.27,44640,8413
1694086955,220.16.226.27,44857,9913
1694086955,220.16.226.27,44059,8417
1694086955,220.16.226.27,44346,9287
1694086955,220.16.226.27,44481,73301
1694086955,220.16.226.27,44864,241741
1694086955,220.16.226.27,43924,12152
1694086956,220.16.226.27,43697,23326
1694086957,220.16.226.27,44217,20568
1694086958,220.16.226.27,44615,8050
1694086958,220.16.226.27,44712,83839
1694086958,220.16.226.27,43647,7812
1694086959,220.16.226.27,44184,41759
1694086959,220.16.226.27,44807,15802
1694086959,220.16.226.27,44677,4857
1694086959,220.16.226.27,43639,4006
1694086959,220.16.226.27,44025,4634
1694086959,220.16.226.27,43671,3900
1694086960,220.16.226.27,44680,3914
1694086961,220.16.226.27,44782,12717
1694086962,220.16.226.27,43890,6478
1694086962,220.16.226.27,44604,9673
1694086963,220.16.226.27,44476,2428533
1694086964,220.16.226.27,44659,7283
1694086967,220.16.226.27,44348,11865
1694086978,220.16.226.27,43802,7418
1694086981,220.16.226.27,44600,10469
1694086981,220.16.226.27,44532,6602
1694086983,220.16.226.27,44743,4287
1694086984,220.16.226.27,43956,6627
1694086985,220.16.226.27,44373,7258
1694086988,220.16.226.27,44122,6461
1694086988,220.16.226.27,44835,9580
1694086989,220.16.226.27,44449,2676877
1694086994,220.16.226.27,44069,9952598
1694087001,220.16.226.27,44118,7313
1694087001,220.16.226.27,43696,4672
1694087002,220.16.226.27,43684,4363
1694087002,220.16.226.27,43869,20203
1694087002,220.16.226.27,43710,6624
1694087003,220.16.226.27,44841,7969
1694087003,220.16.226.27,43807,9811691
1694087004,220.16.226.27,43898,7330
1694087004,220.16.226.27,43945,6129
1694087005,220.16.226.27,43602,8773
1694087009,220.16.226.27,44369,2634
1694087009,220.16.226.27,44072,1940671
1694087010,220.16.226.27,43769,3882
1694087010,220.16.226.27,44329,6574
1694087010,220.16.226.27,43704,6873
1694087010,220.16.226.27,43914,22340
1694087010,220.16.226.27,44261,6990
1694087014,220.16.226.27,43603,10637
1694087017,220.16.226.27,44632,5088
1694087017,220.16.226.27,43631,8884
1694087018,220.16.226.27,44738,8631
1694087019,220.16.226.27,44647,6055
1694087020,220.16.226.27,43933,3860
1694087026,220.16.226.27,44463,14484
1694087026,220.16.226.27,44521,6483
1694087026,220.16.226.27,44329,7187
1694087026,220.16.226.27,44284,5832
1694087027,220.16.226.27,43840,4627
1694087027,220.16.226.27,44492,6906
1694087038,220.16.226.27,44280,6461
1694087041,220.16.226.27,43681,468047
1694087041,220.16.226.27,44013,8195
1694087041,220.16.226.27,43875,7770
1694087041,220.16.226.27,44731,390624
1694087041,220.16.226.27,43716,6151
1694087041,220.16.226.27,44087,2101
1694087041,220.16.226.27,44181,6600
1694087041,220.16.226.27,44297,5121
1694087043,220.16.226.27,44623,8021
1694087043,220.16.226.27,44588,3764
1694087043,220.16.226.27,44680,5636
1694087044,220.16.226.27,44408,5195
1694087044,220.16.226.27,44024,7959
1694087044,220.16.226.27,43841,6805
1694087044,220.16.226.27,44509,5364
1694087044,220.16.226.27,43912,6763
1694086979,145.196.39.54,56438,241
1694086979,145.196.39.54,56126,257
1694086979,145.196.39.54,56387,196
1694086979,145.196.39.54,55331,284
1694086979,145.196.39.54,55546,210
1694086979,145.196.39.54,55831,187
1694086979,145.196.39.54,55560,380
1694086979,145.196.39.54,56452,177
1694086979,145.196.39.54,56059,177
1694086979,145.196.39.54,55949,175
1694086979,145.196.39.54,55979,379
1694086979,145.196.39.54,55644,350
1694086979,145.196.39.54,56102,9478
1694086979,145.196.39.54,55807,253
1694086979,145.196.39.54,55950,333
1694086979,145.196.39.54,55325,179
1694086979,145.196.39.54,55228,387
1694086979,145.196.39.54,55470,210
1694086979,145.196.39.54,55259,260
1694086979,145.196.39.54,56079,353
1694086979,145.196.39.54,55513,231
1694086979,145.196.39.54,55828,235
1694086979,145.196.39.54,56164,216
1694086979,145.196.39.54,55540,361
1694086980,145.196.39.54,55419,358
1694086980,145.196.39.54,56301,159
1694086980,145.196.39.54,56222,402
1694086980,145.196.39.54,55465,402
1694086980,145.196.39.54,55756,354
1694086980,145.196.39.54,55370,157
1694086980,145.196.39.54,55816,238
1694086980,145.196.39.54,56345,307
1694086980,145.196.39.54,55475,225
1694086980,145.196.39.54,56437,5524
1694086980,145.196.39.54,56172,385
1694086980,145.196.39.54,55689,235
1694086980,145.196.39.54,55235,338
1694086980,145.196.39.54,56418,282
1694086980,145.196.39.54,56122,191
1694086980,145.196.39.54,55232,256
1694086980,145.196.39.54,55233,226
1694086980,145.196.39.54,55963,353
1694086980,145.196.39.54,55449,157
1694086981,145.196.39.54,55670,251
1694086981,145.196.39.54,55643,353
1694086981,145.196.39.54,56443,373
1694086981,145.196.39.54,56053,203
1694086981,145.196.39.54,55594,338
1694086981,145.196.39.54,55575,178
1694086981,145.196.39.54,56259,233
1694086982,145.196.39.54,56106,13627
1694086983,145.196.39.54,56452,11074
1694087000,145.196.39.54,55579,126
1694087001,145.196.39.54,55715,330
1694087002,145.196.39.54,56200,236
1694087006,145.196.39.54,55808,126
1694087008,145.196.39.54,55660,337
1694087011,145.196.39.54,55266,28739
1694087018,145.196.39.54,55731,359471
1694087020,145.196.39.54,55697,151
1694087029,145.196.39.54,55423,192
1694087076,145.196.39.54,55722,186
1694087076,145.196.39.54,55534,98
1694087076,145.196.39.54,55751,107
1694086655,145.196.39.54,56121,5254
1694086672,145.196.39.54,56235,2748
1694086827,145.196.39.54,55673,5678
1694086837,145.196.39.54,55433,4422
1694086885,145.196.39.54,55311,8940
1694086907,145.196.39.54,56189,6349
1694086907,145.196.39.54,56370,5906
1694086907,145.196.39.54,55572,5549
1694086907,145.196.39.54,55415,8001
1694086907,145.196.39.54,56333,5421
1694086907,145.196.39.54,56112,9189
1694086907,145.196.39.54,55330,154
1694086908,145.196.39.54,56195,154
1694086908,145.196.39.54,55916,5100
1694086908,145.196.39.54,55916,5610
1694086908,145.196.39.54,55916,5610
1694086908,145.196.39.54,55916,5610
1694086908,145.196.39.54,55916,5100
1694086908,145.196.39.54,55916,5100
1694086908,145.196.39.54,55958,63748
1694086911,145.196.39.54,55974,40943
1694086911,145.196.39.54,55746,96
1694086911,145.196.39.54,55709,96
1694086911,145.196.39.54,56146,0
1694086911,145.196.39.54,55683,96
1694086911,145.196.39.54,55414,0
1694086911,145.196.39.54,55557,90
1694086911,145.196.39.54,56295,0
1694086911,145.196.39.54,56359,2718577
1694086911,145.196.39.54,55600,154
1694086912,145.196.39.54,56134,36590
1694086912,145.196.39.54,55210,96
1694086912,145.196.39.54,55332,90
1694086912,145.196.39.54,56426,314332
1694086912,145.196.39.54,55500,96
1694086912,145.196.39.54,55738,0
1694086912,145.196.39.54,56396,0
1694086912,145.196.39.54,55372,90
1694086912,145.196.39.54,56292,90
1694086912,145.196.39.54,56354,180
1694086912,145.196.39.54,55815,96
1694086913,145.196.39.54,56002,0
1694086913,145.196.39.54,55395,90
1694086913,145.196.39.54,56000,90
1694086913,145.196.39.54,55645,33179
1694086913,145.196.39.54,55967,96
1694086913,145.196.39.54,55859,0
1694086913,145.196.39.54,55700,96
1694086913,145.196.39.54,55488,0
1694086913,145.196.39.54,55887,0
1694086913,145.196.39.54,56137,90
1694086913,145.196.39.54,55994,90
